Date,TSLA,BND,SPY
2015-07-01 00:00:00-04:00,17.94333267211914,60.81673812866211,174.9171142578125
2015-07-02 00:00:00-04:00,18.667999267578125,60.96710205078125,174.75697326660156
2015-07-06 00:00:00-04:00,18.648000717163086,61.177581787109375,174.25962829589844
2015-07-07 00:00:00-04:00,17.858667373657227,61.237701416015625,175.35543823242188
2015-07-08 00:00:00-04:00,16.997333526611328,61.41063690185547,172.4134979248047
2015-07-09 00:00:00-04:00,17.19466781616211,61.20759582519531,172.72537231445312
2015-07-10 00:00:00-04:00,17.27666664123535,60.9219856262207,174.9002227783203
2015-07-13 00:00:00-04:00,17.477333068847656,60.77914810180664,176.83065795898438
2015-07-14 00:00:00-04:00,17.709999084472656,60.89190673828125,177.59774780273438
2015-07-15 00:00:00-04:00,17.542667388916016,61.064796447753906,177.5387420654297
2015-07-16 00:00:00-04:00,17.778667449951172,61.064796447753906,178.96334838867188
2015-07-17 00:00:00-04:00,18.310667037963867,61.072349548339844,179.11508178710938
2015-07-20 00:00:00-04:00,18.817333221435547,60.98967361450195,179.2078399658203
2015-07-21 00:00:00-04:00,17.784666061401367,61.1024055480957,178.49972534179688
2015-07-22 00:00:00-04:00,17.857999801635742,61.12493896484375,178.17942810058594
2015-07-23 00:00:00-04:00,17.81333351135254,61.26777648925781,177.17628479003906
2015-07-24 00:00:00-04:00,17.694000244140625,61.30536651611328,175.3385772705078
2015-07-27 00:00:00-04:00,16.867332458496094,61.42564392089844,174.31857299804688
2015-07-28 00:00:00-04:00,17.654666900634766,61.32039260864258,176.45974731445312
2015-07-29 00:00:00-04:00,17.58799934387207,61.26777648925781,177.67367553710938
2015-07-30 00:00:00-04:00,17.785999298095703,61.29034423828125,177.7157440185547
2015-07-31 00:00:00-04:00,17.74333381652832,61.50082778930664,177.44602966308594
2015-08-03 00:00:00-04:00,17.332666397094727,61.643211364746094,176.84750366210938
2015-08-04 00:00:00-04:00,17.75200080871582,61.43230056762695,176.50192260742188
2015-08-05 00:00:00-04:00,18.0086669921875,61.3343391418457,177.08355712890625
2015-08-06 00:00:00-04:00,16.408666610717773,61.37199020385742,175.63365173339844
2015-08-07 00:00:00-04:00,16.167333602905273,61.500038146972656,175.29641723632812
2015-08-10 00:00:00-04:00,16.076000213623047,61.37199020385742,177.5050506591797
2015-08-11 00:00:00-04:00,15.824666976928711,61.60551452636719,175.9033660888672
2015-08-12 00:00:00-04:00,15.878000259399414,61.582977294921875,176.1141357421875
2015-08-13 00:00:00-04:00,16.167333602905273,61.454864501953125,175.89492797851562
2015-08-14 00:00:00-04:00,16.209999084472656,61.43230056762695,176.53561401367188
2015-08-17 00:00:00-04:00,16.999332427978516,61.5452995300293,177.5218963623047
2015-08-18 00:00:00-04:00,17.381332397460938,61.43230056762695,177.00765991210938
2015-08-19 00:00:00-04:00,17.016666412353516,61.650726318359375,175.60838317871094
2015-08-20 00:00:00-04:00,16.14533233642578,61.703468322753906,171.94146728515625
2015-08-21 00:00:00-04:00,15.38466739654541,61.801422119140625,166.7655487060547
2015-08-24 00:00:00-04:00,14.591333389282227,61.786380767822266,159.74356079101562
2015-08-25 00:00:00-04:00,14.66866683959961,61.582977294921875,157.8637237548828
2015-08-26 00:00:00-04:00,14.989333152770996,61.31928634643555,163.92471313476562
2015-08-27 00:00:00-04:00,16.19933319091797,61.40217971801758,167.97943115234375
2015-08-28 00:00:00-04:00,16.565332412719727,61.43230056762695,167.9878692626953
2015-08-31 00:00:00-04:00,16.604000091552734,61.34940719604492,166.6306610107422
2015-09-01 00:00:00-04:00,15.908666610717773,61.498870849609375,161.65713500976562
2015-09-02 00:00:00-04:00,16.512666702270508,61.4536018371582,164.72560119628906
2015-09-03 00:00:00-04:00,16.3713321685791,61.498870849609375,164.8435516357422
2015-09-04 00:00:00-04:00,16.1286678314209,61.64984130859375,162.34837341308594
2015-09-08 00:00:00-04:00,16.544666290283203,61.498870849609375,166.4283905029297
2015-09-09 00:00:00-04:00,16.5939998626709,61.48377227783203,164.202880859375
2015-09-10 00:00:00-04:00,16.565332412719727,61.355464935302734,165.0964813232422
2015-09-11 00:00:00-04:00,16.682666778564453,61.48377227783203,165.84669494628906
2015-09-14 00:00:00-04:00,16.87933349609375,61.498870849609375,165.23130798339844
2015-09-15 00:00:00-04:00,16.904666900634766,61.24222946166992,167.29664611816406
2015-09-16 00:00:00-04:00,17.483333587646484,61.20451736450195,168.7465362548828
2015-09-17 00:00:00-04:00,17.471332550048828,61.55173873901367,168.3671875
2015-09-18 00:00:00-04:00,17.374666213989258,61.72530746459961,165.6158447265625
2015-09-21 00:00:00-04:00,17.613332748413086,61.498870849609375,166.4716796875
2015-09-22 00:00:00-04:00,17.395999908447266,61.61208724975586,164.3109130859375
2015-09-23 00:00:00-04:00,17.40399932861328,61.61208724975586,164.04823303222656
2015-09-24 00:00:00-04:00,17.541332244873047,61.6347541809082,163.4550323486328
2015-09-25 00:00:00-04:00,17.12733268737793,61.52149200439453,163.4127197265625
2015-09-28 00:00:00-04:00,16.562000274658203,61.68003463745117,159.3114776611328
2015-09-29 00:00:00-04:00,16.44333267211914,61.72530746459961,159.40463256835938
2015-09-30 00:00:00-04:00,16.559999465942383,61.846134185791016,162.37890625
2015-10-01 00:00:00-04:00,15.991999626159668,61.8794059753418,162.8026123046875
2015-10-02 00:00:00-04:00,16.504667282104492,62.11387252807617,165.23448181152344
2015-10-05 00:00:00-04:00,16.40999984741211,61.871822357177734,168.17483520507812
2015-10-06 00:00:00-04:00,16.097333908081055,61.95503616333008,167.5986328125
